Время от начала полета (секунды),Высота над уровнем моря (метры),Масса корабля (тонны),Тангаж / угол наклона (градусы),Орбитальная скорость (м/с),Скорость относительно поверхности (м/с),Общая скорость (м/с),Апогейное расстояние (метры)
0.11,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.22,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.32,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.43,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.53,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.63,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.73,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.84,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.95,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.05,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.15,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.26,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.37,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.47,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.58,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.68,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.79,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.90,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
2.01,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
2.11,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
2.21,78.6,44885.07,90.0,175.0,0.0,0.0,78.6
2.32,78.7,44863.70,90.0,175.0,0.0,0.0,78.7
2.43,78.6,44828.09,90.0,175.0,0.0,0.0,78.6
2.53,78.7,44785.36,90.0,175.0,0.0,0.0,78.7
2.64,78.7,44749.75,90.0,175.0,0.0,0.0,78.7
2.75,78.7,44721.27,90.0,175.0,0.0,0.0,78.7
2.85,78.7,44692.78,90.0,175.0,0.0,0.0,78.7
2.96,78.7,44650.05,90.0,175.0,0.0,0.0,78.7
3.06,78.7,44628.68,90.0,175.0,0.0,0.0,78.7
3.17,78.7,44607.32,90.0,175.0,0.0,0.0,78.8
3.27,78.8,44585.95,90.0,175.0,0.0,0.0,79.0
3.38,79.1,44550.34,90.0,175.0,0.0,0.0,79.6
3.48,79.4,44521.85,90.0,175.0,0.0,0.0,80.2
3.59,79.8,44493.37,90.0,175.0,0.0,0.0,81.1
3.69,80.3,44457.76,90.0,175.1,0.0,0.0,82.3
3.80,80.9,44429.27,90.0,175.1,0.0,0.0,83.5
3.90,81.5,44400.79,90.0,175.2,0.0,0.0,84.9
